locus,shannon,simpson,n_clonotypes
IGH,6.390240667065348,0.9983221476510067,596
IGK,6.694562058521095,0.9987623762376238,808
IGL,6.595780513961311,0.9986338797814208,732
TRA,2.3978952727983707,0.9090909090909091,11
TRB,3.828641396489094,0.9782608695652174,46
TRD,-0.0,0.0,1
TRG,-0.0,0.0,1
